source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1360441787346113664,258.73746490248016,0.01211667923253177,43.18919508675916,0.013721817364272354,7.312798873026542,0.013535261051804512,-9.957784789177756,6.786394738801384,13.402234,1.732832,-42.48363274317519,2.444769532039196,"NOT_AVAILABLE",4383.24,0.1625
1360447765940585984,258.8183016428267,0.06778100434451156,43.23132234216859,0.06642135014149593,5.355718595775121,0.06571518838737425,-17.792379025861397,-32.272982581993055,16.393713,2.6768436,,,"NOT_AVAILABLE",3669.0,0.457
1360520402423152640,260.35235788388843,0.018451017040875848,43.73715272547845,0.02163859051094017,6.270275343222672,0.020656279189691543,-49.961696790266565,-16.691717611914363,12.370402,1.2220078,-32.282227331041796,0.835630265525531,"NOT_AVAILABLE",4981.395,0.1242
1360480132814257920,259.13179771761787,0.031750143917571895,43.63835099017568,0.03443349323438789,5.089701361158502,0.03069266439254671,-11.082725120284303,23.57000476901315,13.724984,,,,"NOT_AVAILABLE",,
1360428180889685248,259.35270311333284,0.03607396658213241,43.463219463140376,0.04221173608989989,6.321556170401488,0.04578137388315024,21.618174660308146,-18.242113207319683,15.414856,2.4381247,,,"NOT_AVAILABLE",3698.0,0.3177
1360432437196350720,259.6653530702093,0.017561081101164725,43.54509516581498,0.01971484251442456,11.965093278150132,0.020768237765870144,54.79574808378123,-24.304912536910166,11.859195,1.6698036,-20.16512295209465,0.4744319413142416,"NOT_AVAILABLE",4225.0,0.9117
1360435671312795520,259.46697980026414,0.2269151376249295,43.57860976396709,0.18796460258437114,5.07598920425061,0.19451417316778977,-37.88735607704454,20.238849621419227,18.194206,,,,"NOT_AVAILABLE",,
1360492605399288192,259.1418509511715,0.025437385765367818,43.702727241064366,0.031035406636474385,5.437089687674366,0.030473759150331976,4.185011662915086,-58.02536289402822,15.432587,2.1828003,,,"NOT_AVAILABLE",3701.3398,0.021
1360405297299715328,259.25359659520336,0.39873160712758177,43.13237778202619,0.48926585262803074,10.941896914916464,0.45283336017898546,-16.670435773082588,3.181131988575359,18.52906,,,,"NOT_AVAILABLE",,
1360497243963972736,259.06510707911775,0.018610672320454356,43.77934249425896,0.023100624845034858,8.272770004232433,0.02193564315407571,39.799703438992175,-9.218051275744866,9.891151,0.7888975,-5.567976107198371,0.3981917295686342,"NOT_AVAILABLE",5809.8335,0.073
